index,lower_description
125,"role and responsibility:, responsible for the extraction and analysis of data supporting the medical economics area focusing on delivering the highest quality care for members at the lowest cost supports the strategic direction for team proactively collaborates with and provides support for analyses being conducted by the actuarial, risk adjustment, market finance, provider analysis, and other departments investigates areas for membership growth, medical expense management, revenue expansion, affordability and quality improvement identify and translate into action plans industry best practices for quality enhancement and cost containment, including trend analysis, modeling, and reporting manage key vendor relationship in support of the work being completed develops and provides actionable recommendations to senior management relative to all analysis and/or ad hoc reporting provide guidance and mentorship to junior analysts perform any other job related instructions as requested, education / experience:, bachelor’s degree or equivalent years of relevant experience in related field is required master or other advanced degree in related field is preferred minimum of four 4 years of related experience is required managed care or healthcare experience is preferred, required competencies / knowledge / skills:, advanced proficiency with microsoft suite to include word, powerpoint and outlook expert proficiency level with microsoft excel expert knowledge of sql, sas, r, or other data manipulation software ability to consume large quantities of information and discover patterns, irregularities, and deficiencies to analyze ability to work independently and within a team environment with limited guidance ability to effectively report data, analyze facts, and exercise sound business judgment when making recommendations ability to analyze problems, draw conclusions, develop processes and communicate status and results excellent oral and written communication skills ability to interact with management as well as external stakeholders ability to systematically review other’s work strong interpersonal skills and high level of professionalism strong problem solving skills and attention to detail strong listening and critical thinking skills, licensure / certification:, none, working conditions:, general office environment; may be required to sit/stand for long periods of time"
126,"do you have a desire to make a difference? are you interested in creating forward-thinking solutions? at ucs, we welcome diversity of thought, intellect, and thinking outside the box. we don't just accept difference - we celebrate it. we are a pioneering health and information technology firm that prides ourselves on our ability to create lasting, innovative solutions. we transform the way our customers operate and offer you an opportunity to make a true difference in our nation. from supporting national defense efforts, to advancing healthcare access, you'll be engaged in tackling the challenging issues our country faces. help us build groundbreaking solutions and learn what it takes to make your mark on the world. grow with us and see intelligence at work. universal consulting services, inc. is currently seeking a jr. data scientist / analyst to support a federal customer in san antonio, tx. qualifications required :, 1 – 2 years of relevant experience. demonstrated ability to work independently. interacts in a professional manner with internal and external customers. can conduct proactive follow up. proven ability to identify and implement solutions to improve clinical and business data quality. experience working in a leadership role within resource management, group practice management, health plans management and readiness is desired. knowledge of the chcs/ahlta and/or m2 file and table structures. demonstrative knowledge, skills and ability to run/download basic and/or standard queries from m2 i.e. enrollment, clinical workload. general knowledge of medical coding practices and processes – international classification of diseases icd-9/10 and current procedural terminology cpt/healthcare common procedure coding system hcpcs. general knowledge of healthcare clinical and business processes. prepare and/or update briefing papers/slides on various financial, administrative, and business process matters. develop and maintain an operational plan containing project planning information for use by management. proficient in microsoft office products. experience with integration of performance planning goals to meet the objectives of the mhs, va and/or afms is desired. knowledge of mhs meprs/defense medical human resources system internet dmhrsi, manpower, program objective memorandum pom processes finance, and referral management/access to care. ability to create standard queries in m2. ability to gain access to some of the following mhs information systems: the military health system management and reporting tool m2, composite health care system chcs, health services data warehouse hsdw, mhs genesis medical readiness decision support system mrdss and other applicable systems as developed. ucs is an equal employment opportunity eeo employer and welcomes all qualified applicants. applicants will receive fair and impartial consideration without regard to race, sex, color, religion, national origin, age, disability, veteran status, genetic data, or religion or other legally protected status. http://ucs-inc.com/"
127,"now we have our sights set on upending the wireless industry and unseating the entrenched incumbent carriers. we are driven by curiosity, pride, adventure, and a desire to win – it’s in our dna. we’re looking for people with boundless energy, intelligence, and an overwhelming need to achieve to join our team as we embark on the next chapter of our story. opportunity is here. we are dish. bachelor's degree from four-year college or university; or two years related experience and/or training; and four plus years of experience; or equivalent combination of education and experience. knowledge of advanced modeling and statistical techniques such as logistic regression, neural nets, and clustering sql and database skills in oracle, teradata and/or sql server solid experience with data mining methodologies and tools such as sas enterprise miner, r, or similar platforms experience with both technical and non-technical presentation of analytic results. use sas and sql development skills to perform data mining/predictive analytics activities: data quality assessment; data profiling; design and development of analytic data sets; statistical analysis and modeling; application of analytic algorithms for predictive modeling, segmentation, forecasting, and optimization; presentation of analytic results; documentation of all activities. work with clients to understand requirements and potential uses for predictive and descriptive analyses provide analytical support for campaign strategy development, campaign test and measurement design and post-campaign analysis; develop and execute advanced queries, selects and marketing reports; provide support for ad hoc analytical projects, including customer-level analysis, segmentation analysis, product affinity and customer profiling analysis; and, develop and implement data mining and analysis education and training programs"
128,"job category:, -, -, job expectations:, develops complex programming sas/sql code to extract data to help define, launch and evaluate business initiatives analyzes data to identify opportunities, draw conclusions, make actionable recommendations and solve business issues helps to develop statistical models to predict customer behavior patterns, this includes appropriate test and validation data sets helps to assess projects and recommends appropriate statistical/design of experiment methodology and best practices to implement analysis plans in order to accomplish strategic objectives, combined business intelligence technical skills with business analysis skills to drive business results 2+ years of business intelligence experience, including data analysis &amp; data mining create, modify and manage predictive statistical models as required proficient user of sas statistical software or equivalent analytic tools bachelor’s degree in data analytics, mathematics, statistics or related quantitative field or work experience. strong knowledge of business. excels at thinking strategically, working proactively with business partners, and understanding the drivers of business profitability. experience in the financial services industry a plus. time type:"
129,"job title: data scientist - generalist position overview we are looking for entry level data scientists to join our growing team! the successful candidates will work with the data science and engineering teams to collect, process, and analyze data from projects relating to energy, healthcare, finance, and logistics. responsibilities and job duties, ingest and organize data from various sources e.g. csv, relational database process data using typical data science techniques e.g. deduping, imputation conduct analyses using common ds techniques, such as: linear / logistic regression decision tree algorithms e.g. random forest clustering algorithms e.g. k-means support vector machine svm analyze and visualize data using common data science packages, such as: numpy pandas matplotlib plotly work in a highly collaborative environment to brainstorm, design, implement and deliver solutions to some of the most challenging industrial iot problems, linear / logistic regression decision tree algorithms e.g. random forest clustering algorithms e.g. k-means support vector machine svm, numpy pandas matplotlib plotly, qualifications and skills, minimum 1-2 years of experience solving data science problems programming experience in python, java, and/or matlab, preferred requirements, masters or phd application of data science solutions in industrial projects domain expertise in energy, healthcare, finance, and/or logistics research experience with high impact publications"
130,"the data scientist designs and develops processes to support and measure clinical program impacts using eligibility, medical, and pharmacy administrative claims. this position is responsible for performing work that includes study design, measurement and publishing results of complex pharmacy and medical health insurance clinical programs e.g. medical policy, utilization management, adherence, and medication therapy managementmtm analyses. responsibilities, design, develop and apply statistical theories and methods to solve complex technical problems define detailed report requirements for new decision support reports as assigned use multivariate modeling statistical software sas, spss, etc. to create and maintain listings, tabulations, graphical summaries, and formal statistical estimates and tests perform predictive modeling for clinical program development/enhancement and adherence create statistically sound data sets, analysis methods, and scientific reports, assess quality of data analysis programs, and develop automated analysis tools where appropriate other duties as assigned, minimum qualifications, bachelor’s degree in statistics, mathematics, epidemiology, or related area of study, or equivalent combination of education and/or relevant work experience; hs diploma or ged is required 5 years of related work experience with large data sets experience querying databases with software sas, r, python, and sql. must be eligible to work in the united states without need for work visa or residency sponsorship, additional qualifications, excellent verbal and written communication skills team collaboration, preferred qualifications, pbm experience coding knowledge and experience with several languages. advanced sas experience in unix environment research master's degree e.g. m.s. m.p.h. or equivalent work experience, minimum physical job requirements, ability to travel up to 10% constantly required to sit, use hands to handle or feel, talk and hear frequently required to reach with hands and arms occasionally required to stand, walk and stoop, kneel, and crouch occasionally required to lift and/or move up to 10 pounds and occasionally lift and/or move up to 25 pounds specific vision abilities required by this job include close vision, distance vision, color vision, peripheral vision, depth perception and ability to adjust focus, reporting structure, reports to principal data scientist in the specialty and clinical consultative services department, prime therapeutics llc is an equal opportunity employer. we encourage qualified minority, female, veteran, disabled, and other diverse candidates to apply and be considered for open positions."
131,"requisition id: 27144, windlogics provides innovative forecasting and optimization solutions that enable low cost, reliable and sustainable power systems. position specific description, windlogics is a renewable energy forecasting and optimization company that performs r&amp;d and new product development for our parent company, nextera energy. we’re currently looking for data scientists to join our applied math group in st. paul, minnesota. as a data scientist in the applied math group you will be asked:, to solve the problems by applying techniques from mathematics, statistics, computer science, and related disciplines to develop new products and services in collaboration with windlogics’ engineering, science and business teams to apply mathematical formulations, scientific rigor and an independent viewpoint to business analyses to respond quickly and effectively to new and recycled business problems as they arise. the applied math team is looking for data scientists who want to understand the mathematical properties of the algorithms they use; to write and share the best possible code; to keep learning new tools, algorithms and approaches; and to put their skills to work for one of the largest renewable energy fleets in the world. job overview, this position is responsible for developing algorithms, modeling techniques, and optimization methods that support many aspects of nextera and fpl business. employees in this role use knowledge of machine learning, optimization, statistics, and applied mathematics along with abilities in software engineering with a focus on distributed computing and data storage infrastructure i.e. “big data”. job duties &amp; responsibilities, develops machine learning, optimization and other modeling solutions prepares comprehensive documented observations, analyses and interpretations of results including technical reports, summaries, protocols and quantitative analyses manipulates and analyzes data sets performs other job-related duties as assigned, required qualifications, bachelor’s degree experience: 5+ years, preferred qualifications, master’s degree doctoral degree, employee group: exempt employee type: full time job category: science, research, and technology organization: windlogics inc location: st. paul, minnesota other work locations: minnesota relocation provided: yes, if applicable, nextera energy is an equal opportunity employer. qualified applicants are considered for employment without regard to race, color, age, national origin, religion, marital status, sex, sexual orientation, gender identity, gender expression, genetics, disability, protected veteran status or any other basis prohibited by law. we are committed to a diverse and inclusive workplace. if you require special support or accommodation while seeking employment with nextera energy, please send an e-mail to askhr@nee.com, providing your name, telephone number and the best time for us to reach you. alternatively, you may call 1-844-694-4748 option 1, press 6 between 8 a.m. and 5 p.m. est monday-friday. please do not use this line to inquire about your application status. nextera energy will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. however, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is a in response to a formal complaint or charge, b in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or c consistent with the contractor’s legal duty to furnish information. nextera energy does not accept any unsolicited resumes or referrals from any third-party recruiting firms or agencies . please see our policy for more information. #li-ng1"
132,"do you have a desire to make a difference? are you interested in creating forward-thinking solutions? at ucs, we welcome diversity of thought, intellect, and thinking outside the box. we don't just accept difference - we celebrate it. we are a pioneering health and information technology firm that prides ourselves on our ability to create lasting, innovative solutions. we transform the way our customers operate and offer you an opportunity to make a true difference in our nation. from supporting national defense efforts, to advancing healthcare access, you'll be engaged in tackling the challenging issues our country faces. help us build groundbreaking solutions and learn what it takes to make your mark on the world. grow with us and see intelligence at work. universal consulting services, inc. is currently seeking a jr. data scientist / analyst to support a federal customer in san antonio, tx. qualifications required :, 1 – 2 years of relevant experience. demonstrated ability to work independently. interacts in a professional manner with internal and external customers. can conduct proactive follow up. proven ability to identify and implement solutions to improve clinical and business data quality. experience working in a leadership role within resource management, group practice management, health plans management and readiness is desired. knowledge of the chcs/ahlta and/or m2 file and table structures. demonstrative knowledge, skills and ability to run/download basic and/or standard queries from m2 i.e. enrollment, clinical workload. general knowledge of medical coding practices and processes – international classification of diseases icd-9/10 and current procedural terminology cpt/healthcare common procedure coding system hcpcs. general knowledge of healthcare clinical and business processes. prepare and/or update briefing papers/slides on various financial, administrative, and business process matters. develop and maintain an operational plan containing project planning information for use by management. proficient in microsoft office products. experience with integration of performance planning goals to meet the objectives of the mhs, va and/or afms is desired. knowledge of mhs meprs/defense medical human resources system internet dmhrsi, manpower, program objective memorandum pom processes finance, and referral management/access to care. ability to create standard queries in m2. ability to gain access to some of the following mhs information systems: the military health system management and reporting tool m2, composite health care system chcs, health services data warehouse hsdw, mhs genesis medical readiness decision support system mrdss and other applicable systems as developed. ucs is an equal employment opportunity eeo employer and welcomes all qualified applicants. applicants will receive fair and impartial consideration without regard to race, sex, color, religion, national origin, age, disability, veteran status, genetic data, or religion or other legally protected status. http://ucs-inc.com/, this position is currently accepting applications."
133,"ball aerospace leads the way in designing, developing and manufacturing innovative aerospace systems. we take on some of the most complex and exciting challenges in the universe-from space and earth science to national security and intelligence programs. we produce spacecraft, instruments and sensors, rf and microwave technologies, data exploitation solutions, and a variety of advanced aerospace technologies and products. in addition, we pioneered the development of the commercial remote sensing market, producing spacecraft and imaging systems that helped spawn a market-driven demand for imagery. our success is built on more than products or systems. our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at ball aerospace. whether contributing to a better understanding of the universe or helping keep our nation safe, our people bring their diverse backgrounds, perspectives and skills together to achieve a common mission. engineer i – data scientist, what you’ll do:, support the mission &amp; process analytics organization in advanced data analytics and the development of qualitative and quantitative models to extract information from data for data discovery. remain current with industry as it relates to data analysis and applications to ball aerospace. consult with business units, process owners, engineers and other subject matter experts to understand their data analytic needs &amp; provide analysis recommendations and/or results. create, apply, and improve process measures of effectiveness. responsibility includes the application of data analytics as a means of measuring performance and informing corrective action. support a continuous improvement methodology that includes optimizing process effectiveness. support the development of valued metrics that inform the continuous improvement cycle and/or provide additional insights and opportunities. develop methods, processes, and models that provide a closed-loop approach to process optimization through the application of spc. work alongside the mission &amp; process analytics team to bring new analytics capability to mission assurance &amp; ball aerospace. maintain a regular and predictable work schedule. establish and maintain effective working relationships within the department, the strategic business units, strategic support units and the company. interact appropriately with others in order to maintain a positive and productive work environment. perform other duties as necessary. what you’ll need:, bs in engineering, statistics or a related technical field is required, plus 2 or more years of related experience. each higher-level degree, i.e. master’s degree or ph.d. may substitute for two years of experience. related technical experience may be considered in lieu of education. degree must be from a university, college, or school which is accredited by an agency recognized by the us secretary of education, us department of education. advanced degree in data science, mathematics, statistics or engineering management with emphasis in statistics preferred demonstrated business acumen generating a strong balance between the business needs and process implementation. demonstrated capability of end to end data project generating or understanding a hypothesis, evaluating data needs and expectations; manipulating data to provide appropriate data sets and results; and reaching conclusions against the hypothesis. hands-on experience using structured &amp; unstructured data to solve engineering hypotheses. strong presentation, communication &amp; interpersonal skills. experience with statistical analysis package i.e. spss, sas, minitab, r, python, etc. strong collaboration skills maintaining composure with emotional conversations around process, not being trapped in the emotion, rather informed. demonstrated business acumen &amp; presentation skills as it pertains to defending business cases that support the use of data analytics to meet business unit strategic goals or business needs. proven strategic agility being very patient with adoption of process change while continuously generating what is effective with our process direction. working conditions:, work is performed in an office, laboratory, production floor, or clean room, outdoors or remote research environment. may occasionally work in production work centers where use of protective equipment and gear is required. may access other facilities in various weather conditions. travel and local commute between ball campuses and other possible non-ball locations may be required. relocation for this position is available, us citizenship or permanent residency is required equal opportunity employer minority, female, disabled, lesbian, gay, bi-sexual, transgender and veterans."
134,"this includes gathering and integrating large volumes of data, performing analysis, interpreting results and developing actionable insights and recommendations for use across the company. research techniques may include statistical, modeling, machine learning, and data mining. recommends solutions to new and complex problems, develops innovative strategies, quantifies the competitive performance of the organization's operations and/or markets, evaluates the potential impact of changes and reports on economic forecasts that affect the industry."
135,"requisition id: 27797, our reliability is one of the best in the nation, and we’re working to make it even better. we live here too. that’s why we’re committed to making florida a better place. join our team today learn more, position specific description, smile you’ve found us! at nextera energy, our people are our greatest asset and our data ream is looking for sr. data scientists to join the organization!, in this role you will be responsible for developing algorithms, modeling techniques, and optimization methods that support many aspects of nextera and fpl business. you will use knowledge of machine learning, optimization, statistics, and applied mathematics along with abilities in software engineering with a focus on distributed computing and “big data”. candidates with the following experience will be highly considered:, possesses a strong familiarity with business processes and the ability to learn new ones uses knowledge of business processes to identify focus areas and improvement opportunities establishes and manages effective customer relationships with all business areas selecting features, building and optimizing classifiers using machine learning techniques data mining using state-of-the-art methods extending company’s data with third party sources of information when needed enhancing data collection procedures to include information that is relevant for building analytic systems processing, cleansing, and verifying the integrity of data used for analysis doing ad-hoc analysis and presenting results in a clear manner creating automated anomaly detection systems builds strong knowledge of the technical solution being delivered and can analyze and determine failure points, highly desired skills, excellent understanding of machine learning techniques and algorithms experience with common data science toolkits, such as r, matlab, etc experience with data visualisation tools, such as powerbi and others. proficiency in using query languages such as sql, hive, etc. experience with nosql databases, such as mongodb, hbase, etc good applied statistics skills, such as distributions, statistical testing, regression, etc. good scripting and programming skills demonstrates strong oral and written communication skills, job overview, this position is responsible for developing algorithms, modeling techniques, and optimization methods that support many aspects of nextera and fpl business. employees in this role use knowledge of machine learning, optimization, statistics, and applied mathematics along with abilities in software engineering with a focus on distributed computing and data storage infrastructure i.e. “big data”. job duties &amp; responsibilities, develops machine learning, optimization and other modeling solutions prepares comprehensive documented observations, analyses and interpretations of results including technical reports, summaries, protocols and quantitative analyses manipulates and analyzes data sets performs other job-related duties as assigned, required qualifications, bachelor’s degree experience: 5+ years, preferred qualifications, master’s degree doctoral degree, employee group: exempt employee type: full time job category: science, research, and technology organization: florida power &amp; light company location: juno beach, florida other work locations: florida relocation provided: yes, if applicable, nextera energy is an equal opportunity employer. qualified applicants are considered for employment without regard to race, color, age, national origin, religion, marital status, sex, sexual orientation, gender identity, gender expression, genetics, disability, protected veteran status or any other basis prohibited by law. we are committed to a diverse and inclusive workplace. if you require special support or accommodation while seeking employment with nextera energy, please send an e-mail to askhr@nee.com, providing your name, telephone number and the best time for us to reach you. alternatively, you may call 1-844-694-4748 option 1, press 6 between 8 a.m. and 5 p.m. est monday-friday. please do not use this line to inquire about your application status. nextera energy will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. however, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is a in response to a formal complaint or charge, b in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or c consistent with the contractor’s legal duty to furnish information. nextera energy does not accept any unsolicited resumes or referrals from any third-party recruiting firms or agencies . please see our policy for more information. #li-am1"
136,"preferred masters of science in computer science, math or scientific computing; data analytics, machine learning or business analyst nanodegree; or equivalent experience. experience: typically requires 10 or more years experience or phd in an approved field with a minimum of 6 years of relevant experience"
137,"a passion for technology to drive a new generation of data and machine learning be collaborative will think outside the box and push analytic insights into action ability to work in a fast paced environment self-driven to excel strong communication skills, verbal and written, mining data for insights, apply predictive modeling, machine learning and data science solutions to enhance clients business/portfolios in the healthcare industry provide value to clients through advanced actionable analytics and data driven solutions apply crisp-dm across all analytics exercises. build, assess and maintain models that predict propensity of an event of interest to occur in a lifetime of an entity prepare reports and documentation surrounding projects, bachelor’s degree from an accredited college or university with major course work in computer science, mis or a related field is required. equivalent work experience is a similar position may be substituted for educational requirements, minimum three years’ experience with code development and performing data analysis predictive analytics and machine learning to support business needs proficiency in reading, writing and speaking english, three years’ experience in sql programming three years’ experience in any relational databases postgresql, mysql, informix, sql servier, oracle db, greenplum three years’ experience with statistical tools sas, spss. r, rapidminer, simul8, oracle crystal ball, minitab, pandas, spark mllib, weka, scipy etc. languages: python, pig, r, base sas, spss, perl two years’ experience with data mining, predictive modeling, machine learning, ai regression, ann, decision trees, clustering, text mining, sentiment analysis, forecasting one year experience with data visualization tools such as tableau, microstrategy, power b, qlik past experience with medical claims, healthcare, insurance or in the payment accuracy space preferred"
138,"job req id: 84944, looking for your next opportunity? if so, choose parkland and discover what a meaningful job feels like. whether you work directly with patients or use your talent to support our care, you’ll be part of a team that’s providing valuable health services to dallas county residents. and here, you’ll have the opportunity to put all your skills to work, and the support to grow and advance in your job and your field. step into a career that will make a substantial difference for our patients—and for you. we blend cultures, talents, and experience into an exemplary health and hospital system. parkland has earned distinction as one of america’s best hospitals by u.s news and world report every year since 1994. must have a masters in statistics, applied mathematics, computer science, computer engineering, physics, or a related field. prefer phd in above fields. minimum of 4 years of experience in a hospital or clinic setting working with physicians and staff involved in patient care. minimum of 4 years of experience working in the area of information systems and knowledge of standards, system configuration, decision support and information systems as well as all regulatory requirements of a medical institution. must have experience in working with projects that resulted in the melding of multiple business cultures and significant organizational change related to the automation of clinical and administrative functions. must have experience in conducting evaluations and assessments, i.e. change readiness assessments, workflow optimization assessments, etc. must have experience in clinical system implementations throughout the project life-cycle, performing workflow analysis, testing, training, go-live support, system upgrades, and issues management. may have an equivalent combination of education and experience to substitute for both the education and the experience requirements. may have experience as a principle investigator or in clinical research analytics capacity. must be recognized by peers as an outstanding conceptualizationist and solutions architect. must have working knowledge of hospital organization and operations, administrative standards, regulations and practices. must have working knowledge of parkland and medicine services/care management organization and operations, administrative standards, regulations and practices within three months of job assignment. must have expert level knowledge regarding emr, word processing, database, and spreadsheet software. must have strong analytic and computer skills in addition to an extensive knowledge of database management and data analysis. must be fluent in advanced data programming language and statistical analysis software be able to program in r, stata, spss, or sas statistical software. must be able to demonstrate a working knowledge of program evaluation methods, statistical analysis, research skills, management information systems, and strategic planning. exceptional planning skills with a results-oriented record of achievement and the ability to set goals, meet deadlines and evaluate results particularly in regard to significant changes within an organization and with respect to the organization¿s relationship with the community or marketplace. must have strong written and verbal communication skills, have a high level of attention to detail, and have the ability to manage multiple projects at once. must be a quick learner. good analytical and problem-solving skills must be able to work in a team environment. sets high standards of performance for self. must be able to demonstrate a high skill level in the use of microsoft word, excel, and powerpoint software. parkland health and hospital system prohibits discrimination based on age 40 or over, race, color, religion, sex including pregnancy, sexual orientation, gender identity, gender expression, genetic information, disability, national origin, marital status, political belief, or veteran status. nearest major market: dallas nearest secondary market: fort worth job segment: medical, patient care, medical research, clinical research, healthcare"
139,"city, rochester, state, minnesota, telecommute, no, department, health sciences research, why mayo clinic, data science, through the emergence of artificial intelligence research and applications in health care, is unifying several theoretical and computational disciplines to advance the practice of healthcare. mayo clinic has a rich tradition of collecting and utilizing healthcare and basic research data starting as early as 1900s with pioneering a unified, indexed medical record system. mayo clinic strives to remain a world leader for advanced quantitative approaches and novel insights from the diverse landscape of health care data. the department of health sciences research at mayo clinic is seeking applications for a faculty position in data science to assist in these efforts. resources to support investigations include a clinical data warehouse containing over twenty years of emr and supporting data for 9.2 million patients, vibrant radiology practice with state-of-the-art imaging modalities and deep, multi-decadal digital image repository, reference labs including digital pathology, biomedical engineering programs, genomic data, and drug discovery pipelines. mayo clinic also leads a national agenda in precision medicine as the biorepository for the nih all of us initiative. position description, we are looking for a motivated and talented individual with strong interest in advancing data science in biomedical and healthcare domain in order to transform clinical practice and precision medicine. the successful candidate will be expected to lead and sustain a research program in data science and work collaboratively with colleagues to advance data science in healthcare transformation and precision medicine. a track record or clearly articulated vision for developing novel methods that can drive improvements in health care through advancements in population health management, clinical decision support, digital pathology, individualized medicine, or health care management is preferred. successes will be measured by scientific productivity, extramural funding, national and international leadership, institutional citizenship. this person will hold academic rank at mayo clinic commensurate with experience and qualifications. license or certification, candidates must have a phd, md or equivalent degree in their respective disciplines with a quantitative science background. early, middle and senior level candidates are welcomed. early stage candidates should have demonstrated scientific productivity; evidence of successful competition of external funding is preferred. middle or senior level candidates should have national leadership and strong extramural funding records. applications should include a cover letter, cv and statement of research interests. benefits eligible, yes, schedule, full time, site description, every year, more than 1 million patients from all 50 states and nearly 150 countries choose mayo clinic for their medical care. mayo clinic has a legacy of inspiring hope and contributing to health and well-being by providing the best care to every patient through integrated clinical practice, education and research. mayo clinic has campuses in rochester, mn; scottsdale and phoenix, az; jacksonville, fl; and throughout the multistate network of mayo clinic health system. each campus is an integral part of its community and reflects mayo clinic's deeply held values. category, physicians &amp; scientists, career profile, research, specialty, research, job posting number, 100600br, recruiter, jennell prentice endrizzi, equal opportunity employer, mayo clinic is an equal opportunity educator and employer including veterans and persons with disabilities. email"
140,"implement large-scale data ecosystems including data management, governance and the integration of structured and unstructured data to generate insights leveraging cloud-based platforms leverage automation, cognitive and science-based techniques to manage data, predict scenarios and prescribe actions drive operational efficiency by maintaining their data ecosystems, sourcing analytics expertise and providing as-a-service offerings for continuous insights and improvements, bachelor's degree in computer science, engineering, mathematics or other business-related field, 3+ years of relevant consulting or industry experience, experience working independently with minimal guidance, strong problem solving and troubleshooting skills with experience exercising mature judgment, proven experience effectively prioritizing workload to meet deadlines and work objectives, ability to maintain the required secret security clearance for this role, individual will work on small teams to conceptualize, design, develop, test, and harden for deployment advanced analytics, e.g. algorithms in python, r, vba, excel, and other tools as required by the client’s problem and environment, will likely contribute to the design and development of visualizations and other decision products tailored to the advanced analytics and the client’s decision problem; will be required to both perform analytics and communicate analytic findings and outputs. prior professional services or federal consulting experience, must have a strong orientation to quantitative, data-driven analysis including some of the following skills: microsoft excel – expert proficiency as demonstrated by advanced use of array and nested formulas and strong pivot table use; vba is a plus but not required • demonstrated understanding of statistics; • programming languages: python, r, vba, sql, c++ • geographic information systems gis: arcgis, qgis • data visualization: tableau; qlikview; d3, spotfire, oracle bi, cognos bi, experience working with quantitative analysis of structured, semi-structured, and unstructured data to assess contextual and spatial/temporal relationships in the data. as used in this posting, “deloitte” means deloitte consulting llp, a subsidiary of deloitte llp. please see www.deloitte.com/us/about for a detailed description of the legal structure of deloitte llp and its subsidiaries. certain services may not be available to attest clients under the rules and regulations of public accounting. all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability or protected veteran status, or any other legally protected basis, in accordance with applicable law."
141,"amgen is seeking a senior associate data scientist to be based in our thousand oaks, ca global headquarters, who will report into the senior data scientist. the next generation insights &amp; intelligence amgen full potential ngii afp initiative’s remit is to drive systematic utilization of data, analytics, artificial intelligence, and automation across all aspects of the business to reduce costs and increase revenue, speed and efficiency. as part of the strategy, commercialization &amp; innovation function, the senior associate data scientist will interface across amgen’s value chain in advancing projects and technical deliverables for the ngii afp. responsibilities include executing on projects and/or providing technical input to projects involving data science, machine learning, and artificial intelligence across amgen. with respect to projects executed within the scope of ngii, the senior associate data scientist may advance technical projects with aims to systematically integrate data, derive insights, and automate processes. these projects may touch across the entire value chain and hence offers the opportunity for the candidate to interact and learn from teams involved in amgen processes ranging from r&amp;d to commercialization. successful execution of these projects will not only demonstrate technical feasibility for advanced informatic capabilities but will also ultimately derive substantial business value for amgen. primary responsibilities for the senior associate data scientist include:, engages with the business function to understand and identify opportunities to deliver business value collaborates with other data scientists on the team develops requirements based on consulting with the respective business function contribute to the technical solution for the business function either through quick prototypes or engagement with broader technical team, basic qualifications:, master’s degree, or, bachelor’s degree and 2 years of data science experience, or, associate’s degree and 6 years of data science experience, or, high school diploma / ged and 8 years of data science experience, preferred qualifications:, experience with variety of data analysis and modeling methods particularly in their application to biological systems i.e. unsupervised pca, k-means, supervised linear/logistic regression including pls, deep learning approaches, bayesian, fourier/laplace proficient in sql, python, r and familiar with big data approaches familiarity and background with biotechnology processes and regulatory requirements strong analytical / quantitative skills strong communication and interpersonal skills self-starter with the ability to take on several projects at one time comfort and agility with changes in business priorities, amgen is committed to unlocking the potential of biology for patients suffering from serious illnesses by discovering, developing, manufacturing and delivering innovative human therapeutics. this approach begins by using tools like advanced human genetics to unravel the complexities of disease and understand the fundamentals of human biology. amgen focuses on areas of high unmet medical need and leverages its expertise to strive for solutions that improve health outcomes and dramatically improve people’s lives. a biotechnology pioneer since 1980, amgen has grown to be one of the world’s leading independent biotechnology companies, has reached millions of patients around the world and is developing a pipeline of medicines with breakaway potential. #ds2018"
